year,jan,feb,mar,april,may,june,july,aug,sept,oct,nov,dec,total,post_monsoon,summer,winter,monsoon,classification,category
1973,0.0,1.7912039585162693,0.0,1.869065995013039,-0.7051201637454491,-0.6571871162658462,-0.5622607841850926,0.007024639134237447,0.2908809401665381,-0.1861504258318347,-0.6983502149263773,-0.5853889018316827,-0.6272763825761288,-0.28156065911087264,-0.6148376429301472,0.7206326590133588,-0.542011664121002,1,1
1974,0.0,-0.5797692290241545,0.0,1.869065995013039,1.818838387286812,-1.3964587797346346,2.087502508150828,0.2846445429614058,-0.7510870818397972,0.8810239240491983,-0.6983502149263773,-0.5853889018316827,0.4265744840534937,0.7765482974040584,1.9036229036413983,-0.8086405688026457,0.3475085296198207,1,2
1975,0.0,-0.5797692290241545,0.0,-0.5781438617490843,-0.5096821980065455,0.23365511800663974,0.4732398888562387,1.0863622519632223,0.7924488667395598,1.4645656703847152,-0.6983502149263773,-0.5853889018316827,1.2269346311340266,1.3551329948031354,-0.5360232309671411,-0.8086405688026457,1.2376385625959674,1,3
1976,0.0,-0.5797692290241545,0.0,-0.5781438617490843,-0.2950820933319163,-0.5508357533492919,0.13209730085556526,-0.29254275824040676,0.46477072099355343,-0.9856884550372446,1.8299372224688821,-0.5853889018316827,-0.31333144725308926,-0.7231613747254986,-0.32189059527384234,-0.8086405688026457,-0.16730281116036685,1,1
1977,0.0,-0.5797692290241545,0.0,1.7252863976116088,-0.7051201637454491,-0.3476877011216465,1.2511454845447059,-0.9554447547052883,0.967564854929666,-0.5253822268338229,1.8299372224688821,-0.5853889018316827,0.3344986035093742,-0.26676533891753307,-0.6216645509784458,-0.8086405688026457,0.4500205634201958,1,2
1978,0.0,1.7912039585162693,0.0,-0.5781438617490843,0.6467324825774692,1.3248104552125817,-1.084937037839214,-1.0142939756790716,-0.44786618150379687,-0.0867331540146344,1.7583951231973833,1.796575508108375,-0.640468522085806,0.15822126985497523,0.6178724014852441,2.4894009489026803,-0.6310941470995135,1,1
1979,0.0,1.0540006309951166,0.0,-0.5781438617490843,-0.4128276833363814,0.40481055084640394,-1.4272936323333703,0.5123361080107521,-0.5114319201218589,-0.8682027539127513,1.8299372224688821,-0.5853889018316827,-0.5259819940325255,-0.6066736868082235,-0.4393796970016639,0.24513790514628195,-0.5649666424925759,1,1
1980,0.0,-0.5797692290241545,0.0,1.869065995013039,-0.7051201637454491,0.8073498407295026,-1.1517280731691428,0.5760417770263487,-0.8964006874609584,-0.6512323678945482,0.18989994618976722,1.796575508108375,-0.43568468935011817,-0.6193257316688074,-0.6148376429301472,0.9601277210866757,-0.31945221922682177,1,1
1981,0.0,1.7912039585162693,0.0,1.869065995013039,-0.7051201637454491,-1.0136850978926324,-0.42091237508103096,-0.28565232257940376,2.062300710835248,-0.22179735272239318,0.5916430290547947,-0.5853889018316827,-0.19188716804442507,-0.13774190557433869,-0.6148376429301472,0.7206326590133588,-0.09781391066028679,1,1
1982,0.0,-0.5797692290241545,0.0,-0.5781438617490843,0.3044632566674553,-0.3134863441338128,0.09331284621532442,0.06050705186488595,-0.8702187222029065,-0.9856884550372446,1.8299372224688821,-0.5853889018316827,-0.37228111299119276,-0.7231613747254986,0.2763487495190057,-0.8086405688026457,-0.41322317585030355,1,1
1983,0.0,-0.5797692290241545,0.0,1.869065995013039,-0.7051201637454491,-0.26302593207191755,0.8267195475481507,2.646826355280922,1.216671489445376,0.6175390327421757,1.8299372224688821,-0.5853889018316827,2.2085560990815534,0.8664470752334493,-0.6148376429301472,-0.8086405688026457,2.127082934380329,2,3
1984,0.0,1.7912039585162693,0.0,-0.5781438617490843,-0.7051201637454491,0.22511277776376107,1.1304207749301936,-1.1790830173607565,0.2476745208433158,-0.7712150791363561,-0.6983502149263773,-0.5853889018316827,0.06570432220048986,-0.8616553267449186,-0.7310354691096125,0.7206326590133588,0.28047833743840406,1,2
1985,0.0,-0.5797692290241545,0.0,-0.5781438617490843,-0.2719857295261698,2.7671598169073808,-0.48823299841433004,-0.5592287559799917,-0.9735347546545872,1.3319368570682402,-0.6983502149263773,-0.5853889018316827,0.5173681584348357,1.2236308318456455,-0.2988445428772029,-0.8086405688026457,0.46664380036451875,1,2
1986,0.0,-0.5797692290241545,0.0,-0.5781438617490843,-0.48590079648150053,0.15440484891692588,-1.9594940475006963,-0.1164840362291223,-1.168534262844771,-0.9833866916728797,1.8031612087431304,1.796575508108375,-1.6283673795198161,-0.7245979957246627,-0.5122936330866581,0.9601277210866757,-1.566178903435328,1,0
1987,0.0,-0.5797692290241545,0.0,-0.5781438617490843,-0.7051201637454491,-0.35598638025637186,-0.22806244938070483,1.155675557835201,-1.4215480657828488,-0.17745552711068527,-0.6428211909696032,1.796575508108375,-0.34510775302775687,-0.2652273801727689,-0.7310354691096125,0.9601277210866757,-0.2927931299260776,1,1
1988,0.0,-0.5797692290241545,0.0,-0.5781438617490843,-0.7051201637454491,-0.5408699184633552,0.596275982976333,-0.6422160201744254,2.4259890569818574,2.5022201250855454,-0.6819180391364736,-0.5853889018316827,0.8943666315609019,2.3862550308612267,-0.7310354691096125,-0.8086405688026457,0.6949922881486656,1,3
1989,0.0,-0.5797692290241545,0.0,-0.5781438617490843,-0.7051201637454491,-0.2496198486474545,0.3272674109109557,0.11686857703043052,-0.7167292663132667,-0.35788291687551527,-0.6983502149263773,-0.5853889018316827,-0.28404043028963755,-0.4518343233140982,-0.7310354691096125,-0.8086405688026457,-0.1580359241056318,1,1
1990,0.0,1.7912039585162693,0.0,-0.5781438617490843,1.818838387286812,1.7882924361954688,-1.5699578548366007,2.2188936857246757,0.4892317918611078,0.5736028650200986,-0.6326215052930718,-0.5853889018316827,1.4142852990956012,0.4808675491844988,1.787425077461933,0.7206326590133588,1.287749336852605,1,3
1991,0.0,-0.5797692290241545,0.0,1.869065995013039,-0.670788841546513,2.1401353203264017,1.258614490727857,-0.9396601382158497,-1.312023919950631,-0.9603690591627464,-0.5833249876338967,1.796575508108375,0.5627131743276519,-1.0332270175228913,-0.5805811055419661,0.9601277210866757,0.8387161132315397,1,2
1992,0.0,-0.5797692290241545,0.0,-0.5781438617490843,-0.7051201637454491,-1.570681613301475,-0.8282512966511539,1.0735751218235259,-0.11536920930409406,-0.039847437907759235,-0.6983502149263773,-0.5853889018316827,-0.8411686501293926,-0.13650048042065446,-0.7310354691096125,-0.8086405688026457,-0.7892500181688332,1,0
1993,0.0,-0.5797692290241545,0.0,-0.5781438617490843,0.20829378355501613,-0.33954900447059344,-0.07369166440041007,-0.6629421556837036,2.4259890569818574,0.448224655938778,0.17255520832283555,0.21352725643243609,0.4892591039280805,0.4683827122140504,0.1803887648674371,-0.21539175235482452,0.39952452664865074,1,2
1994,0.0,-0.5797692290241545,0.0,1.869065995013039,-0.1905679661859812,-0.26907797729772537,0.6900378789495362,-0.5357145161168217,0.27502167174398945,-0.5683421572394695,-0.6854832330756891,-0.5853889018316827,-0.04879778237080929,-0.6587187099890796,-0.10140630778591035,-0.8086405688026457,0.10416391236936343,1,2
1995,0.0,-0.5797692290241545,0.0,-0.5781438617490843,-0.7051201637454491,-1.6858319869176563,-0.7713733966275155,-0.6768769430965462,0.7810113431136939,0.7660233660099248,-0.6983502149263773,-0.5853889018316827,-1.2430265248076304,0.6625246418700442,-0.7310354691096125,-0.8086405688026457,-1.3328261193015578,1,0
1996,0.0,-0.5797692290241545,0.0,-0.5781438617490843,-0.7051201637454491,-1.0343161477116247,0.8745225747767327,-0.10972935403243983,0.4515440831018039,0.953913047832805,-0.5052252003831316,-0.5853889018316827,0.11718339612161716,0.87564073584317,-0.7310354691096125,-0.8086405688026457,0.10198322611703822,1,2
1997,0.0,-0.5797692290241545,0.0,0.7155356774309343,-0.7051201637454491,0.30731750049395046,-0.6556723422327633,0.6694604507108772,0.29711034305222656,-0.9856884550372446,1.8299372224688821,1.796575508108375,0.08830426432404813,-0.7231613747254986,-0.6696092903083956,0.9601277210866757,0.22356346778435454,1,2
1998,0.0,-0.5797692290241545,0.0,-0.5781438617490843,-0.7051201637454491,-0.42119573799056154,-0.6380996576014307,0.7697221539349065,0.4727862690630675,2.5022201250855454,1.608048948871252,-0.5853889018316827,0.4440082683482095,2.704300924223103,-0.7310354691096125,-0.8086405688026457,-0.018012537567265917,1,2
1999,0.0,0.368620045992015,0.0,-0.5781438617490843,1.818838387286812,0.06558788304433483,-0.9934749108091644,-1.180519909556676,0.2759016346805755,0.9113508884661482,-0.6983502149263773,-0.5853889018316827,-0.7809663984688924,0.8066176414405427,1.787425077461933,-0.19693127767624388,-1.0181515024087535,1,0
2000,0.0,-0.5797692290241545,0.0,-0.5781438617490843,1.818838387286812,-0.6516100562080226,1.392827782751893,0.5669082561697968,-1.027433186141921,-0.7032489326915404,-0.6983502149263773,1.796575508108375,0.5975350829305143,-0.7942665366179054,1.787425077461933,0.9601277210866757,0.35609639385319647,1,2
2001,0.0,-0.5797692290241545,0.0,1.869065995013039,1.818838387286812,-0.18226949698405676,-0.6050325405950053,-0.2649536986022635,-1.1340683844424528,0.11796801872324027,-0.6983502149263773,-0.5853889018316827,-0.9966704078911035,0.019974371281290555,1.9036229036413983,-0.8086405688026457,-1.013977379660805,1,0
2002,0.0,-0.5797692290241545,0.0,-0.5781438617490843,-0.30652588155242566,-0.30712982891464247,-2.2982337998712916,0.6409529640075982,-0.9512588952440881,-0.9776322842745747,-0.6983502149263773,1.3201826315293383,-1.626074243779762,-1.0663190666107403,-0.3333094551932676,0.606374067125338,-1.5369228393867835,1,0
2003,0.0,1.7912039585162693,0.0,-0.5781438617490843,-0.7051201637454491,0.7473287434734374,0.12934100946434637,-0.5103610068150006,-0.1503377627618071,-0.890281599329461,-0.6983502149263773,-0.5853889018316827,-0.07920207785784436,-0.9797104050471988,-0.7310354691096125,0.7206326590133588,0.14295198235943696,1,2
2004,0.0,-0.5797692290241545,0.0,1.869065995013039,1.818838387286812,-0.905455135924466,0.2227794465923629,1.6839682324352874,-0.6972616147990194,-0.4136022604148625,-0.4900390502522741,-0.5853889018316827,0.1579960520080746,-0.47814869987780334,1.9036229036413983,-0.8086405688026457,0.23192437626101597,1,2
2005,0.0,-0.5797692290241545,0.0,-0.5781438617490843,-0.6759947740223863,-0.05045745931498091,0.7948446539912948,0.11521312753974074,1.826437359683124,-0.40801232293087175,-0.6983502149263773,-0.5853889018316827,0.9589190250827426,-0.5015378919370318,-0.7019735239793905,-0.8086405688026457,1.2005231202512041,1,3
